Product_Code,Warehouse,Month,Order_Demand,Product_Name
Product_1281,Whse_S,1,108000,Red Onion
Product_1355,Whse_S,1,63000,Whipped Cream Cheese
Product_1341,Whse_S,1,1141000,Whipped Butter
Product_1234,Whse_S,1,41000,Strawberry Preserves
Product_1567,Whse_S,1,473000,Avocado
Product_1431,Whse_S,1,569000,Tomato
Product_1279,Whse_S,1,419000,Hard Boiled Eggs
Product_1839,Whse_S,1,30000,Vanilla Coconut Plant-Based Yogurt
Product_1342,Whse_S,1,1751000,Granola with Nuts
Product_0374,Whse_S,1,40000,Cranberry Almond Granola
Product_0387,Whse_S,1,77000,Red Grapes
Product_1817,Whse_S,1,540000,Mandarin Oranges
Product_1264,Whse_S,1,595000,Low Fat Blueberry Yogurt
Product_1432,Whse_S,1,2046000,Low Fat Strawberry Yogurt
Product_1195,Whse_S,1,20000,Low Fat Vanilla Yogurt
Product_1356,Whse_S,1,38000,Spring Mix Lettuce
Product_1387,Whse_S,1,2000,Cherry Tomatoes
Product_1787,Whse_S,1,2500,Red Onion
Product_0064,Whse_S,1,42000,English Cucumber
Product_1502,Whse_S,1,38250,Broccoli Florets
Product_1823,Whse_C,1,80000,Radish Sprouts
Product_1016,Whse_S,1,5300,Sliced Olives
Product_0033,Whse_C,1,16000,Carrots
Product_1570,Whse_S,1,247000,Roasted Corn
Product_1350,Whse_C,1,43000,Romaine Lettuce
Product_1432,Whse_C,1,155000,Low Fat Strawberry Yogurt
Product_0998,Whse_S,1,64800,Mushrooms
Product_1195,Whse_C,1,66000,Low Fat Vanilla Yogurt
Product_1198,Whse_C,1,13000,Banana Peppers
Product_1439,Whse_C,1,76000,Falafel
Product_0021,Whse_S,1,72500,English Muffin
Product_1342,Whse_C,1,97000,Granola with Nuts
Product_1407,Whse_C,1,48000,Country White Bread
Product_1450,Whse_C,1,22000,Multigrain Bread
Product_0083,Whse_S,1,2260000,Blueberry Bagel
Product_1263,Whse_C,1,106000,Everyseed Bagel
Product_1991,Whse_C,1,400,Cinnamon Raisin Bagel
Product_1341,Whse_C,1,128000,Whipped Butter
Product_1466,Whse_S,1,44000,Plain Bagel
Product_1250,Whse_A,1,18200,Dinner Rolls
Product_1496,Whse_A,1,98150,Buttermilk Biscuits
Product_1461,Whse_A,1,23750,Zesty Egg Scramble
Product_1513,Whse_A,1,57300,Eggs Scrambled
Product_0984,Whse_A,1,32200,Bacon
Product_0031,Whse_A,1,10100,Smokin’ Beef Roast
Product_0936,Whse_A,1,92500,Cheesy Ratatouille
Product_1410,Whse_A,1,56100,Mandarin Crispy Chicken
Product_1470,Whse_A,1,75600,Mandarin Crispy Tofu
Product_0979,Whse_A,1,29400,Oatmeal
Product_0998,Whse_A,1,1400,Mushrooms
Product_1404,Whse_C,1,5000,Home Fries
Product_1521,Whse_C,1,46000,White Rice
Product_1278,Whse_C,1,244000,Stir-Fried Sugar Snap Peas
Product_1388,Whse_A,1,124500,Stir-Fried Cabbage
Product_1548,Whse_A,1,48650,Roasted Parsnips
Product_1432,Whse_A,1,59000,Low Fat Strawberry Yogurt
Product_1825,Whse_S,1,37500,Mashed Red Potatoes
Product_1270,Whse_C,1,26000,Savory Buttered Peas
Product_1247,Whse_C,1,184000,Fudge Brownies
Product_0083,Whse_C,1,174000,Blueberry Bagel
Product_0094,Whse_C,1,88000,Sugar Cookie
Product_1394,Whse_C,1,70000,Carnival Cookie
Product_1480,Whse_C,1,190000,Lemon Italian Ice Cup
Product_0984,Whse_S,1,400,Bacon
Product_1264,Whse_A,1,77000,Low Fat Blueberry Yogurt
Product_0424,Whse_A,1,40000,Assorted Popsicle
Product_1299,Whse_A,1,41100,Blue Bunny Cookie Ice Cream Sandwich
Product_1521,Whse_A,1,33000,White Rice
Product_1263,Whse_S,1,197000,Everyseed Bagel
Product_1970,Whse_S,1,10000,Country Fresh Ice Cream Sandwich
Product_1262,Whse_J,1,242100,Banana Bread
Product_1430,Whse_J,1,148800,Cream Cheese Danish
Product_1264,Whse_J,1,1097000,Low Fat Blueberry Yogurt
Product_1360,Whse_J,1,1179000,Cherry Danish
Product_1432,Whse_J,1,238000,Low Fat Strawberry Yogurt
Product_0943,Whse_J,1,53000,Blueberry Muffin
Product_1359,Whse_J,1,8911000,Double Chocolate Muffin
Product_1904,Whse_C,1,315000,Chocolate Croissant
Product_1274,Whse_J,1,1639000,Orange Juice
Product_1570,Whse_C,1,93000,Roasted Corn
Product_1450,Whse_S,1,32000,Multigrain Bread
Product_1147,Whse_J,1,110000,Apple Juice
Product_1287,Whse_J,1,1043300,2% Milk
Product_1295,Whse_J,1,1360800,Chocolate Milk
Product_1378,Whse_J,1,1272100,Jalapeno bagel
Product_1382,Whse_J,1,1458400,Uproot Soy Milk
Product_1453,Whse_J,1,1267300,Uproot Oat Milk
Product_0936,Whse_S,1,150000,Cheesy Ratatouille
Product_1222,Whse_J,1,126400,Pineapple Slices
Product_1356,Whse_J,1,269000,Spring Mix Lettuce
Product_1404,Whse_S,1,253000,Home Fries
Product_1574,Whse_S,1,597000,Pumpkin Pie
Product_1991,Whse_J,1,46000,Cinnamon Raisin Bagel
Product_1465,Whse_C,1,29000,Spinach Dip
Product_1294,Whse_J,1,1189400,Garlic Bread
Product_1377,Whse_J,1,847100,Tater Tots
Product_1381,Whse_J,1,430100,Cheddar Cheese
Product_1452,Whse_J,1,324900,Strawberry Cake
Product_1456,Whse_J,1,296050,Peanut Butter
Product_1451,Whse_J,1,1422000,Barbecue Sauce
Product_1418,Whse_J,1,115100,Mango Smoothie
Product_0012,Whse_J,1,50000,Vegetable Stir-Fry
Product_1355,Whse_J,1,147000,Whipped Cream Cheese
Product_1315,Whse_J,1,249600,Spaghetti Bolognese
Product_1286,Whse_J,1,1439400,Grilled Salmon
Product_1134,Whse_J,1,38300,Beef Stroganoff
Product_1216,Whse_J,1,220000,Chicken Parmesan
Product_1469,Whse_J,1,57800,Chocolate Chip Pancakes
Product_1480,Whse_J,1,32000,Lemon Italian Ice Cup
Product_1316,Whse_J,1,140300,Apple Tart
Product_1241,Whse_J,1,950000,Lemon Meringue Pie
Product_1023,Whse_J,1,83200,Greek Salad
Product_1248,Whse_J,1,3772000,Caesar Salad
Product_0021,Whse_C,1,5500,English Muffin
Product_1163,Whse_J,1,60000,French Onion Soup
Product_1521,Whse_J,1,115000,White Rice
Product_0931,Whse_J,1,445000,Bruschetta
Product_0981,Whse_J,1,24400,Garlic Shrimp
Product_0984,Whse_J,1,42200,Bacon
Product_1570,Whse_J,1,13500,Roasted Corn
Product_1970,Whse_J,1,203000,Country Fresh Ice Cream Sandwich
Product_1281,Whse_J,1,62000,Red Onion
Product_1410,Whse_J,1,117400,Mandarin Crispy Chicken
Product_1465,Whse_J,1,80000,Eggplant Lasagna
Product_1458,Whse_J,1,88200,Stuffed Peppers
Product_1512,Whse_J,1,124100,Vegetable Curry
Product_1463,Whse_J,1,125200,Roasted Chicken
Product_1455,Whse_J,1,117950,Pasta Primavera
Product_0031,Whse_J,1,66000,Smokin’ Beef Roast
Product_1278,Whse_J,1,87000,Stir-Fried Sugar Snap Peas
Product_1312,Whse_J,1,65700,Chocolate Fudge
Product_1387,Whse_J,1,60300,Cherry Tomatoes
Product_1403,Whse_J,1,159000,Vanilla Cheesecake
Product_1242,Whse_J,1,15000,Raspberry Sorbet
Product_0979,Whse_J,1,43600,Oatmeal
Product_1526,Whse_J,1,226000,Coconut Shrimp
Product_1554,Whse_J,1,501000,Sweet Potato Fries
Product_1278,Whse_S,1,559000,Stir-Fried Sugar Snap Peas
Product_0012,Whse_S,1,25000,Zucchini Bread
Product_1158,Whse_J,1,400000,Avocado Toast
Product_1450,Whse_J,1,87000,Multigrain Bread
Product_0016,Whse_J,1,54400,Blueberry Crumble
Product_1555,Whse_J,1,215500,Churros
Product_0033,Whse_J,1,216500,Carrots
Product_0933,Whse_J,1,385000,Creme Brulee
Product_1282,Whse_J,1,100000,Fish Tacos
Product_1250,Whse_J,1,207900,Dinner Rolls
Product_1350,Whse_J,1,590000,Romaine Lettuce
Product_1394,Whse_J,1,20000,Carnival Cookie
Product_1135,Whse_J,1,94000,Vegetable Quesadilla
Product_0083,Whse_J,1,355000,Blueberry Bagel
Product_1403,Whse_C,1,134000,Chicken Burrito
Product_1886,Whse_C,1,1600,Beef Enchiladas
Product_1466,Whse_C,1,50000,Plain Bagel
Product_0936,Whse_J,1,75000,Cheesy Ratatouille
Product_1766,Whse_J,1,46000,Vegetable Sushi
Product_1156,Whse_J,1,150000,Tofu Stir-Fry
Product_1435,Whse_J,1,135000,Miso Soup
Product_1016,Whse_J,1,1328900,Sliced Olives
Product_1886,Whse_J,1,387500,Shrimp Pad Thai
Product_1825,Whse_J,1,357500,Mashed Red Potatoes
Product_1018,Whse_J,1,23000,Lamb Gyro
Product_1224,Whse_J,1,64000,Falafel Wrap
Product_1817,Whse_J,1,67500,Mandarin Oranges
Product_1279,Whse_J,1,8000,Hard Boiled Eggs
Product_1157,Whse_J,1,330000,Shakshuka
Product_0998,Whse_J,1,1300,Mushrooms
Product_1839,Whse_J,1,205000,Vanilla Coconut Plant-Based Yogurt
Product_1290,Whse_J,1,171000,Couscous Salad
Product_0031,Whse_S,1,3000,Smokin’ Beef Roast
Product_1581,Whse_S,1,15000,Lentil Soup
Product_1159,Whse_J,1,220000,Roasted Vegetables
Product_1356,Whse_C,1,5000,Spring Mix Lettuce
Product_1502,Whse_J,1,48000,Broccoli Florets
Product_0021,Whse_J,1,21000,English Muffin
Product_1823,Whse_J,1,80000,Radish Sprouts
Product_1480,Whse_S,1,235000,Lemon Italian Ice Cup
Product_1152,Whse_J,1,270000,Cabbage Rolls
Product_1581,Whse_J,1,173000,Meatloaf
Product_1479,Whse_J,1,243000,Stuffed Mushrooms
Product_1348,Whse_J,1,6000,Grilled Cheese Sandwich
Product_1466,Whse_J,1,7000,Plain Bagel
Product_1520,Whse_J,1,169000,Tomato Bisque
Product_1431,Whse_A,1,31000,Tomato
Product_1151,Whse_J,1,80000,Baked Ziti
Product_1375,Whse_J,1,52000,Garlic Mashed Potatoes
Product_1493,Whse_J,1,85800,Chocolate Eclairs
Product_0073,Whse_J,1,200000,Banana Cream Pie
Product_1380,Whse_J,1,28800,Pumpkin Spice Latte
Product_1388,Whse_J,1,5200,Stir-Fried Cabbage
Product_1470,Whse_J,1,37900,Mandarin Crispy Tofu
Product_1195,Whse_J,1,29000,Low Fat Vanilla Yogurt
Product_1469,Whse_A,1,5600,Eggnog
Product_0981,Whse_A,1,15450,Hot Chocolate
Product_1496,Whse_J,1,14050,Buttermilk Biscuits
Product_0064,Whse_J,1,138000,English Cucumber
Product_0071,Whse_J,1,53000,Apple Cider
Product_1904,Whse_J,1,11000,Chocolate Croissant
Product_1149,Whse_J,1,180000,Beef Tacos
Product_1237,Whse_S,1,125000,Chicken Quesadilla
Product_1403,Whse_S,1,157000,Vegetable Spring Rolls
Product_0071,Whse_C,1,109000,Fried Rice
Product_1281,Whse_C,1,92000,Red Onion
Product_0002,Whse_S,1,65000,Chicken Noodle Soup
Product_0033,Whse_S,1,501000,Carrots
Product_1393,Whse_S,1,391000,Tuna Casserole
Product_1135,Whse_C,1,40000,Shepherd's Pie
Product_1355,Whse_C,1,94000,Whipped Cream Cheese
Product_1224,Whse_S,1,15000,Mashed Cauliflower
Product_1241,Whse_S,1,162000,Clam Chowder
Product_1245,Whse_S,1,155000,Potato Wedges
Product_1246,Whse_S,1,81000,Turkey Sandwich
Product_1512,Whse_A,1,19400,Ham Croissant
Product_0980,Whse_A,1,8000,Vegetable Pizza
Product_1886,Whse_A,1,100,Meat Lovers Pizza
Product_1825,Whse_A,1,27500,Mashed Red Potatoes
Product_1824,Whse_S,1,75000,Margarita Pizza
Product_1812,Whse_S,1,25000,Caprese Salad
Product_1581,Whse_C,1,2000,Buffalo Wings
Product_1886,Whse_S,1,11100,Fried Zucchini
Product_1361,Whse_J,1,380000,Chicken Pot Pie
Product_0063,Whse_J,1,150000,Vegetable Soup
Product_1787,Whse_J,1,57500,Red Onion
Product_1394,Whse_S,1,62000,Carnival Cookie
Product_1396,Whse_J,1,21000,Beef Chili
Product_1512,Whse_C,1,2800,Chicken Alfredo
